Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Apr 1, 2021",@ San Diego,REG,L,8-7,210,O,8.5,ARI,2021,20210401,1,0.3225806451612903,0
"Apr 2, 2021",@ San Diego,REG,L,4-2,190,U,7.5,ARI,2021,20210402,2,0.3448275862068966,0
"Apr 3, 2021",@ San Diego,REG,L,7-0,190,U,8.5,ARI,2021,20210403,3,0.3448275862068966,0
"Apr 4, 2021",@ San Diego,REG,W,3-1,185,U,9.0,ARI,2021,20210404,4,0.3508771929824561,0
"Apr 6, 2021",@ Colorado,REG,W,10-8,115,O,10.5,ARI,2021,20210406,5,0.46511627906976744,0
"Apr 7, 2021",@ Colorado,REG,L,8-0,-115,U,11.5,ARI,2021,20210407,6,0.5348837209302326,0
"Apr 8, 2021",@ Colorado,REG,L,7-3,115,U,11.0,ARI,2021,20210408,7,0.46511627906976744,0
"Apr 9, 2021",vs Cincinnati,REG,L,6-5,138,O,9.5,ARI,2021,20210409,8,0.42016806722689076,0
"Apr 10, 2021",vs Cincinnati,REG,W,8-3,115,O,9.5,ARI,2021,20210410,9,0.46511627906976744,0
"Apr 11, 2021",vs Cincinnati,REG,W,7-0,102,U,9.0,ARI,2021,20210411,10,0.49504950495049505,0
"Apr 12, 2021",vs Oakland,REG,L,9-5,119,O,9.5,ARI,2021,20210412,11,0.45662100456621,0
"Apr 13, 2021",vs Oakland,REG,L,7-5,-104,O,8.5,ARI,2021,20210413,12,0.5098039215686274,0
"Apr 15, 2021",@ Washington,REG,W,11-6,165,O,8.5,ARI,2021,20210415,13,0.37735849056603776,0
"Apr 16, 2021",@ Washington,REG,L,1-0,179,U,8.0,ARI,2021,20210416,14,0.35842293906810035,0
"Apr 17, 2021",@ Washington,REG,L,6-2,102,U,8.5,ARI,2021,20210417,15,0.49504950495049505,0
"Apr 18, 2021",@ Washington,REG,W,5-2,129,U,9.0,ARI,2021,20210418,16,0.4366812227074236,0
"Apr 20, 2021",@ Cincinnati,REG,W,5-4,136,O,7.5,ARI,2021,20210420,17,0.423728813559322,0
"Apr 21, 2021",@ Cincinnati,REG,W,8-5,157,O,8.0,ARI,2021,20210421,18,0.38910505836575876,0
"Apr 22, 2021",@ Cincinnati,REG,W,14-11,132,O,8.5,ARI,2021,20210422,19,0.43103448275862066,0
"Apr 23, 2021",@ Atlanta,REG,L,5-4,144,O,8.5,ARI,2021,20210423,20,0.4098360655737705,0
"Apr 25, 2021",@ Atlanta,REG,W,5-0,118,U,6.5,ARI,2021,20210425,21,0.45871559633027525,1
"Apr 25, 2021",@ Atlanta,REG,W,7-0,170,O,6.5,ARI,2021,20210425,22,0.37037037037037035,2
"Apr 27, 2021",vs San Diego,REG,W,5-1,140,U,9.0,ARI,2021,20210427,23,0.4166666666666667,0
"Apr 28, 2021",vs San Diego,REG,L,12-3,135,O,9.0,ARI,2021,20210428,24,0.425531914893617,0
"Apr 29, 2021",vs Colorado,REG,W,5-3,-125,U,9.0,ARI,2021,20210429,25,0.5555555555555556,0
"Apr 30, 2021",vs Colorado,REG,W,7-2,-130,O,8.5,ARI,2021,20210430,26,0.5652173913043479,0
"May 1, 2021",vs Colorado,REG,L,14-6,-177,O,8.0,ARI,2021,20210501,27,0.6389891696750902,0
"May 2, 2021",vs Colorado,REG,W,8-4,-142,O,9.0,ARI,2021,20210502,28,0.5867768595041323,0
"May 4, 2021",@ Miami,REG,L,9-3,133,O,7.5,ARI,2021,20210504,29,0.4291845493562232,0
"May 5, 2021",@ Miami,REG,L,8-0,101,P,8.0,ARI,2021,20210505,30,0.4975124378109453,0
"May 6, 2021",@ Miami,REG,L,3-1,129,U,7.5,ARI,2021,20210506,31,0.4366812227074236,0
"May 7, 2021",@ NY Mets,REG,L,5-4,120,O,7.0,ARI,2021,20210507,32,0.45454545454545453,0
"May 8, 2021",@ NY Mets,REG,L,4-2,130,U,8.0,ARI,2021,20210508,33,0.43478260869565216,0
"May 9, 2021",@ NY Mets,REG,L,4-2,267,U,7.0,ARI,2021,20210509,34,0.2724795640326976,0
"May 10, 2021",vs Miami,REG,W,5-2,-125,U,9.0,ARI,2021,20210510,35,0.5555555555555556,0
"May 11, 2021",vs Miami,REG,W,11-3,-108,O,8.0,ARI,2021,20210511,36,0.5192307692307692,0
"May 12, 2021",vs Miami,REG,L,3-2,-125,U,9.0,ARI,2021,20210512,37,0.5555555555555556,0
