Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Apr 1, 2021",vs Toronto,REG,L,3-2,-180,U,8.0,NYA,2021,20210401,1,0.6428571428571428,0
"Apr 3, 2021",vs Toronto,REG,W,5-3,-165,U,9.0,NYA,2021,20210403,2,0.6226415094339622,0
"Apr 4, 2021",vs Toronto,REG,L,3-1,-190,U,9.5,NYA,2021,20210404,3,0.6551724137931034,0
"Apr 5, 2021",vs Baltimore,REG,W,7-0,-220,U,9.5,NYA,2021,20210405,4,0.6875,0
"Apr 6, 2021",vs Baltimore,REG,W,7-2,-280,O,8.0,NYA,2021,20210406,5,0.736842105263158,0
"Apr 7, 2021",vs Baltimore,REG,L,4-3,-188,U,8.5,NYA,2021,20210407,6,0.6527777777777778,0
"Apr 9, 2021",@ Tampa Bay,REG,L,10-5,-133,O,8.0,NYA,2021,20210409,7,0.5708154506437768,0
"Apr 10, 2021",@ Tampa Bay,REG,L,4-0,-133,U,9.5,NYA,2021,20210410,8,0.5708154506437768,0
"Apr 11, 2021",@ Tampa Bay,REG,W,8-4,-139,O,9.0,NYA,2021,20210411,9,0.5815899581589958,0
"Apr 12, 2021",@ Toronto,REG,W,3-1,-190,U,9.0,NYA,2021,20210412,10,0.6551724137931034,0
"Apr 13, 2021",@ Toronto,REG,L,7-3,100,O,9.0,NYA,2021,20210413,11,0.5,0
"Apr 14, 2021",@ Toronto,REG,L,5-4,-140,U,10.5,NYA,2021,20210414,12,0.5833333333333333,0
"Apr 16, 2021",vs Tampa Bay,REG,L,8-2,-156,O,9.5,NYA,2021,20210416,13,0.609375,0
"Apr 17, 2021",vs Tampa Bay,REG,L,6-3,-105,O,7.5,NYA,2021,20210417,14,0.5121951219512195,0
"Apr 18, 2021",vs Tampa Bay,REG,L,4-2,-240,U,7.5,NYA,2021,20210418,15,0.7058823529411764,0
"Apr 20, 2021",vs Atlanta,REG,W,3-1,-120,U,8.5,NYA,2021,20210420,16,0.5454545454545454,0
"Apr 21, 2021",vs Atlanta,REG,L,4-1,-140,U,8.5,NYA,2021,20210421,17,0.5833333333333333,0
"Apr 22, 2021",@ Cleveland,REG,W,6-3,100,O,8.0,NYA,2021,20210422,18,0.5,0
"Apr 23, 2021",@ Cleveland,REG,W,5-3,-155,U,8.5,NYA,2021,20210423,19,0.607843137254902,0
"Apr 24, 2021",@ Cleveland,REG,W,2-1,-125,U,6.5,NYA,2021,20210424,20,0.5555555555555556,0
"Apr 25, 2021",@ Cleveland,REG,L,7-3,-123,O,8.0,NYA,2021,20210425,21,0.5515695067264574,0
"Apr 26, 2021",@ Baltimore,REG,L,4-2,-158,U,9.0,NYA,2021,20210426,22,0.6124031007751938,0
"Apr 27, 2021",@ Baltimore,REG,W,5-1,-175,U,10.0,NYA,2021,20210427,23,0.6363636363636364,0
"Apr 28, 2021",@ Baltimore,REG,W,7-0,-142,U,9.5,NYA,2021,20210428,24,0.5867768595041323,0
"Apr 29, 2021",@ Baltimore,REG,L,4-3,-180,U,9.5,NYA,2021,20210429,25,0.6428571428571428,0
