Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"May 30, 2021",vs Texas,REG,W,4-2,-142,U,8.0,SEA,2021,20210530,54,0.5867768595041323,0
"May 31, 2021",vs Oakland,REG,W,6-5,118,O,8.5,SEA,2021,20210531,55,0.45871559633027525,0
"Jun 1, 2021",vs Oakland,REG,L,12-6,139,O,7.5,SEA,2021,20210601,56,0.41841004184100417,0
"Jun 2, 2021",vs Oakland,REG,L,6-0,142,U,8.0,SEA,2021,20210602,57,0.4132231404958678,0
"Jun 3, 2021",@ LA Angels,REG,W,6-2,142,U,9.0,SEA,2021,20210603,58,0.4132231404958678,0
"Jun 4, 2021",@ LA Angels,REG,L,3-2,155,U,8.5,SEA,2021,20210604,59,0.39215686274509803,0
"Jun 5, 2021",@ LA Angels,REG,L,12-5,141,O,8.0,SEA,2021,20210605,60,0.4149377593360996,0
"Jun 6, 2021",@ LA Angels,REG,W,9-5,139,O,9.0,SEA,2021,20210606,61,0.41841004184100417,0
"Jun 8, 2021",@ Detroit,REG,L,5-3,116,U,8.5,SEA,2021,20210608,62,0.46296296296296297,0
"Jun 9, 2021",@ Detroit,REG,W,9-6,120,O,9.0,SEA,2021,20210609,63,0.45454545454545453,0
"Jun 10, 2021",@ Detroit,REG,L,8-3,107,O,9.5,SEA,2021,20210610,64,0.4830917874396135,0
"Jun 11, 2021",@ Cleveland,REG,L,7-0,140,U,9.0,SEA,2021,20210611,65,0.4166666666666667,0
"Jun 12, 2021",@ Cleveland,REG,L,5-4,105,O,8.0,SEA,2021,20210612,66,0.4878048780487805,0
"Jun 13, 2021",@ Cleveland,REG,W,6-2,200,O,7.5,SEA,2021,20210613,67,0.3333333333333333,0
"Jun 14, 2021",vs Minnesota,REG,W,4-3,129,U,8.0,SEA,2021,20210614,68,0.4366812227074236,0
"Jun 15, 2021",vs Minnesota,REG,W,10-0,120,O,8.5,SEA,2021,20210615,69,0.45454545454545453,0
"Jun 16, 2021",vs Minnesota,REG,L,7-2,123,O,8.5,SEA,2021,20210616,70,0.4484304932735426,0
"Jun 17, 2021",vs Tampa Bay,REG,W,6-5,158,O,8.5,SEA,2021,20210617,71,0.3875968992248062,0
"Jun 18, 2021",vs Tampa Bay,REG,W,5-1,-107,U,7.5,SEA,2021,20210618,72,0.5169082125603865,0
"Jun 19, 2021",vs Tampa Bay,REG,W,6-5,133,O,8.0,SEA,2021,20210619,73,0.4291845493562232,0
"Jun 20, 2021",vs Tampa Bay,REG,W,6-2,144,U,8.5,SEA,2021,20210620,74,0.4098360655737705,0
"Jun 22, 2021",vs Colorado,REG,W,2-1,-158,U,8.5,SEA,2021,20210622,75,0.6124031007751938,0
"Jun 23, 2021",vs Colorado,REG,L,5-2,-105,U,8.5,SEA,2021,20210623,76,0.5121951219512195,0
"Jun 25, 2021",@ Chi White Sox,REG,W,9-3,170,O,7.5,SEA,2021,20210625,77,0.37037037037037035,0
"Jun 27, 2021",@ Chi White Sox,REG,L,7-5,150,O,7.0,SEA,2021,20210627,78,0.4,0
"Jun 29, 2021",@ Toronto,REG,L,9-3,205,O,9.5,SEA,2021,20210629,79,0.32786885245901637,0
"Jun 30, 2021",@ Toronto,REG,W,9-7,215,O,10.5,SEA,2021,20210630,80,0.31746031746031744,0
"Jul 1, 2021",@ Toronto,REG,W,7-2,175,U,10.0,SEA,2021,20210701,81,0.36363636363636365,0
"Jul 2, 2021",vs Texas,REG,W,5-4,-119,O,8.0,SEA,2021,20210702,82,0.54337899543379,0
"Jul 3, 2021",vs Texas,REG,L,7-3,-170,O,9.0,SEA,2021,20210703,83,0.6296296296296297,0
"Jul 4, 2021",vs Texas,REG,W,4-1,-133,U,9.0,SEA,2021,20210704,84,0.5708154506437768,0
"Jul 6, 2021",vs NY Yankees,REG,L,12-1,153,O,9.5,SEA,2021,20210706,85,0.3952569169960474,0
"Jul 7, 2021",vs NY Yankees,REG,L,5-4,-117,O,8.5,SEA,2021,20210707,86,0.5391705069124424,0
"Jul 8, 2021",vs NY Yankees,REG,W,4-0,124,U,8.5,SEA,2021,20210708,87,0.44642857142857145,0
"Jul 9, 2021",vs LA Angels,REG,W,7-3,110,O,9.0,SEA,2021,20210709,88,0.47619047619047616,0
"Jul 10, 2021",vs LA Angels,REG,W,2-0,-102,U,8.0,SEA,2021,20210710,89,0.504950495049505,0
"Jul 11, 2021",vs LA Angels,REG,L,7-1,-114,U,9.0,SEA,2021,20210711,90,0.5327102803738317,0
"Jul 16, 2021",@ LA Angels,REG,W,6-5,144,O,8.5,SEA,2021,20210716,91,0.4098360655737705,0
"Jul 17, 2021",@ LA Angels,REG,L,9-4,127,O,8.5,SEA,2021,20210717,92,0.44052863436123346,0
"Jul 18, 2021",@ LA Angels,REG,W,7-4,125,O,8.5,SEA,2021,20210718,93,0.4444444444444444,0
"Jul 20, 2021",@ Colorado,REG,W,6-4,162,U,11.0,SEA,2021,20210720,94,0.3816793893129771,0
"Jul 21, 2021",@ Colorado,REG,L,6-3,130,U,11.0,SEA,2021,20210721,95,0.43478260869565216,0
"Jul 22, 2021",vs Oakland,REG,L,4-1,131,U,7.5,SEA,2021,20210722,96,0.4329004329004329,0
"Jul 23, 2021",vs Oakland,REG,W,4-3,111,U,8.0,SEA,2021,20210723,97,0.47393364928909953,0
"Jul 24, 2021",vs Oakland,REG,W,5-4,105,O,7.5,SEA,2021,20210724,98,0.4878048780487805,0
"Jul 25, 2021",vs Oakland,REG,W,4-3,118,U,8.5,SEA,2021,20210725,99,0.45871559633027525,0
"Jul 26, 2021",vs Houston,REG,W,11-8,155,O,8.5,SEA,2021,20210726,100,0.39215686274509803,0
"Jul 27, 2021",vs Houston,REG,L,8-6,145,O,8.0,SEA,2021,20210727,101,0.40816326530612246,0
"Jul 28, 2021",vs Houston,REG,L,11-4,-105,O,8.5,SEA,2021,20210728,102,0.5121951219512195,0
"Jul 30, 2021",@ Texas,REG,W,9-5,-155,O,7.5,SEA,2021,20210730,103,0.607843137254902,0
"Jul 31, 2021",@ Texas,REG,L,5-4,-130,O,8.5,SEA,2021,20210731,104,0.5652173913043479,0
"Aug 1, 2021",@ Texas,REG,L,4-3,-142,U,9.0,SEA,2021,20210801,105,0.5867768595041323,0
"Aug 2, 2021",@ Tampa Bay,REG,W,8-2,170,O,9.0,SEA,2021,20210802,106,0.37037037037037035,0
"Aug 3, 2021",@ Tampa Bay,REG,W,4-2,141,U,8.0,SEA,2021,20210803,107,0.4149377593360996,0
"Aug 4, 2021",@ Tampa Bay,REG,L,4-3,140,U,8.0,SEA,2021,20210804,108,0.4166666666666667,0
"Aug 5, 2021",@ NY Yankees,REG,L,5-3,182,U,9.5,SEA,2021,20210805,109,0.3546099290780142,0
"Aug 6, 2021",@ NY Yankees,REG,L,3-2,158,U,10.0,SEA,2021,20210806,110,0.3875968992248062,0
"Aug 7, 2021",@ NY Yankees,REG,L,5-4,170,U,10.5,SEA,2021,20210807,111,0.37037037037037035,0
"Aug 8, 2021",@ NY Yankees,REG,W,2-0,122,U,9.0,SEA,2021,20210808,112,0.45045045045045046,0
"Aug 10, 2021",vs Texas,REG,L,5-4,-210,O,8.0,SEA,2021,20210810,113,0.6774193548387097,0
"Aug 11, 2021",vs Texas,REG,W,2-1,-200,U,8.0,SEA,2021,20210811,114,0.6666666666666667,0
"Aug 12, 2021",vs Texas,REG,W,3-1,-215,U,8.5,SEA,2021,20210812,115,0.6825396825396826,0
"Aug 13, 2021",vs Toronto,REG,W,3-2,148,U,8.5,SEA,2021,20210813,116,0.4032258064516129,0
"Aug 14, 2021",vs Toronto,REG,W,9-3,130,O,9.0,SEA,2021,20210814,117,0.43478260869565216,0
"Aug 15, 2021",vs Toronto,REG,L,8-3,100,O,8.5,SEA,2021,20210815,118,0.5,0
"Aug 17, 2021",@ Texas,REG,W,3-1,-130,U,8.5,SEA,2021,20210817,119,0.5652173913043479,0
"Aug 18, 2021",@ Texas,REG,W,3-1,-158,U,8.5,SEA,2021,20210818,120,0.6124031007751938,0
"Aug 19, 2021",@ Texas,REG,W,9-8,-130,O,8.5,SEA,2021,20210819,121,0.5652173913043479,0
"Aug 20, 2021",@ Houston,REG,L,12-3,165,O,8.5,SEA,2021,20210820,122,0.37735849056603776,0
"Aug 21, 2021",@ Houston,REG,L,15-1,125,O,9.0,SEA,2021,20210821,123,0.4444444444444444,0
"Aug 22, 2021",@ Houston,REG,W,6-3,170,O,8.5,SEA,2021,20210822,124,0.37037037037037035,0
"Aug 23, 2021",@ Oakland,REG,W,5-3,128,U,8.5,SEA,2021,20210823,125,0.43859649122807015,0
"Aug 24, 2021",@ Oakland,REG,W,5-1,142,U,8.5,SEA,2021,20210824,126,0.4132231404958678,0
"Aug 26, 2021",vs Kansas City,REG,L,6-4,-170,O,8.0,SEA,2021,20210826,127,0.6296296296296297,0
"Aug 27, 2021",vs Kansas City,REG,L,8-7,-170,O,8.0,SEA,2021,20210827,128,0.6296296296296297,0
"Aug 28, 2021",vs Kansas City,REG,L,4-2,-160,U,8.0,SEA,2021,20210828,129,0.6153846153846154,0
"Aug 29, 2021",vs Kansas City,REG,W,4-3,-146,U,8.5,SEA,2021,20210829,130,0.5934959349593496,0
"Aug 30, 2021",vs Houston,REG,L,4-3,142,U,8.0,SEA,2021,20210830,131,0.4132231404958678,0
"Aug 31, 2021",vs Houston,REG,W,4-0,145,U,8.0,SEA,2021,20210831,132,0.40816326530612246,0
"Sep 1, 2021",vs Houston,REG,W,1-0,118,U,8.5,SEA,2021,20210901,133,0.45871559633027525,0
