Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Jul 24, 2020",vs Toronto,REG,L,6-4,-145,O,7.5,TBA,2020,20200724,1,0.5918367346938775,0
"Jul 25, 2020",vs Toronto,REG,W,4-1,-144,U,8.5,TBA,2020,20200725,2,0.5901639344262295,0
"Jul 26, 2020",vs Toronto,REG,W,6-5,-183,O,8.5,TBA,2020,20200726,3,0.646643109540636,0
"Jul 27, 2020",vs Atlanta,REG,W,14-5,-137,O,8.0,TBA,2020,20200727,4,0.5780590717299579,0
"Jul 28, 2020",vs Atlanta,REG,W,5-2,-135,U,9.0,TBA,2020,20200728,5,0.574468085106383,0
"Jul 29, 2020",@ Atlanta,REG,L,7-4,115,O,8.5,TBA,2020,20200729,6,0.46511627906976744,0
"Jul 30, 2020",@ Atlanta,REG,L,2-1,136,U,9.0,TBA,2020,20200730,7,0.423728813559322,0
"Jul 31, 2020",@ Baltimore,REG,L,6-3,-200,O,8.5,TBA,2020,20200731,8,0.6666666666666667,0
"Aug 1, 2020",@ Baltimore,REG,L,5-4,-228,P,9.0,TBA,2020,20200801,9,0.6951219512195121,0
"Aug 2, 2020",@ Baltimore,REG,L,5-1,-200,U,9.5,TBA,2020,20200802,10,0.6666666666666667,0
"Aug 4, 2020",vs Boston,REG,W,5-1,-135,U,8.0,TBA,2020,20200804,11,0.574468085106383,0
"Aug 5, 2020",vs Boston,REG,L,5-0,-150,U,8.5,TBA,2020,20200805,12,0.6,0
"Aug 7, 2020",vs NY Yankees,REG,W,1-0,-105,U,8.0,TBA,2020,20200807,13,0.5121951219512195,0
"Aug 8, 2020",vs NY Yankees,REG,L,8-4,135,O,5.5,TBA,2020,20200808,14,0.425531914893617,1
"Aug 8, 2020",vs NY Yankees,REG,W,5-3,115,O,7.0,TBA,2020,20200808,15,0.46511627906976744,2
"Aug 9, 2020",vs NY Yankees,REG,W,4-3,-111,U,8.5,TBA,2020,20200809,16,0.5260663507109005,0
"Aug 10, 2020",@ Boston,REG,W,8-7,-127,O,9.5,TBA,2020,20200810,17,0.5594713656387665,0
"Aug 11, 2020",@ Boston,REG,W,8-2,-115,P,10.0,TBA,2020,20200811,18,0.5348837209302326,0
"Aug 12, 2020",@ Boston,REG,W,9-5,-150,O,9.5,TBA,2020,20200812,19,0.6,0
"Aug 13, 2020",@ Boston,REG,W,17-8,-163,O,9.0,TBA,2020,20200813,20,0.6197718631178708,0
