Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Apr 7, 2022",vs Milwaukee,REG,W,5-4,165,P,9.0,CHN,2022,20220407,1,0.37735849056603776,0
"Apr 9, 2022",vs Milwaukee,REG,W,9-0,138,O,7.5,CHN,2022,20220409,2,0.42016806722689076,0
"Apr 10, 2022",vs Milwaukee,REG,L,5-4,120,O,7.5,CHN,2022,20220410,3,0.45454545454545453,0
"Apr 12, 2022",@ Pittsburgh,REG,W,2-1,-112,U,8.5,CHN,2022,20220412,4,0.5283018867924528,0
"Apr 13, 2022",@ Pittsburgh,REG,L,6-2,-125,U,9.0,CHN,2022,20220413,5,0.5555555555555556,0
"Apr 14, 2022",@ Colorado,REG,W,5-2,114,U,11.0,CHN,2022,20220414,6,0.4672897196261682,0
"Apr 15, 2022",@ Colorado,REG,L,6-5,109,O,10.0,CHN,2022,20220415,7,0.4784688995215311,0
"Apr 16, 2022",@ Colorado,REG,L,9-6,100,O,11.5,CHN,2022,20220416,8,0.5,0
"Apr 17, 2022",@ Colorado,REG,W,6-4,114,U,11.0,CHN,2022,20220417,9,0.4672897196261682,0
"Apr 18, 2022",vs Tampa Bay,REG,W,4-2,132,U,8.0,CHN,2022,20220418,10,0.43103448275862066,0
"Apr 19, 2022",vs Tampa Bay,REG,L,6-5,114,O,8.0,CHN,2022,20220419,11,0.4672897196261682,0
"Apr 20, 2022",vs Tampa Bay,REG,L,8-2,-110,O,9.0,CHN,2022,20220420,12,0.5238095238095238,0
"Apr 21, 2022",vs Pittsburgh,REG,L,4-3,-162,U,9.0,CHN,2022,20220421,13,0.6183206106870229,0
"Apr 22, 2022",vs Pittsburgh,REG,L,4-2,-170,U,7.5,CHN,2022,20220422,14,0.6296296296296297,0
"Apr 23, 2022",vs Pittsburgh,REG,W,21-0,-165,O,10.0,CHN,2022,20220423,15,0.6226415094339622,0
"Apr 24, 2022",vs Pittsburgh,REG,L,4-3,-151,U,10.0,CHN,2022,20220424,16,0.601593625498008,0
"Apr 26, 2022",@ Atlanta,REG,L,3-1,160,U,7.5,CHN,2022,20220426,17,0.38461538461538464,0
"Apr 27, 2022",@ Atlanta,REG,W,6-3,170,O,8.5,CHN,2022,20220427,18,0.37037037037037035,0
"Apr 28, 2022",@ Atlanta,REG,L,5-1,180,U,8.5,CHN,2022,20220428,19,0.35714285714285715,0
"Apr 29, 2022",@ Milwaukee,REG,L,11-1,125,O,7.5,CHN,2022,20220429,20,0.4444444444444444,0
"Apr 30, 2022",@ Milwaukee,REG,L,9-1,145,O,7.5,CHN,2022,20220430,21,0.40816326530612246,0
"May 1, 2022",@ Milwaukee,REG,W,2-0,195,U,6.5,CHN,2022,20220501,22,0.3389830508474576,0
"May 3, 2022",vs Chi White Sox,REG,L,3-1,121,U,6.5,CHN,2022,20220503,23,0.45248868778280543,0
"May 4, 2022",vs Chi White Sox,REG,L,4-3,120,P,7.0,CHN,2022,20220504,24,0.45454545454545453,0
"May 7, 2022",vs LA Dodgers,REG,L,7-0,200,O,6.5,CHN,2022,20220507,25,0.3333333333333333,1
"May 7, 2022",vs LA Dodgers,REG,L,6-2,148,O,7.5,CHN,2022,20220507,26,0.4032258064516129,2
"May 8, 2022",vs LA Dodgers,REG,L,7-1,190,P,8.0,CHN,2022,20220508,27,0.3448275862068966,0
"May 9, 2022",@ San Diego,REG,W,6-0,151,U,7.5,CHN,2022,20220509,28,0.398406374501992,0
"May 10, 2022",@ San Diego,REG,L,5-4,153,O,7.0,CHN,2022,20220510,29,0.3952569169960474,0
"May 11, 2022",@ San Diego,REG,W,7-5,139,O,8.0,CHN,2022,20220511,30,0.41841004184100417,0
"May 13, 2022",@ Arizona,REG,L,4-3,100,U,9.0,CHN,2022,20220513,31,0.5,0
"May 14, 2022",@ Arizona,REG,W,4-2,140,U,8.0,CHN,2022,20220514,32,0.4166666666666667,0
"May 15, 2022",@ Arizona,REG,W,3-2,105,U,9.0,CHN,2022,20220515,33,0.4878048780487805,0
"May 16, 2022",vs Pittsburgh,REG,W,9-0,-160,O,8.5,CHN,2022,20220516,34,0.6153846153846154,0
"May 17, 2022",vs Pittsburgh,REG,W,7-0,-142,U,8.0,CHN,2022,20220517,35,0.5867768595041323,0
"May 18, 2022",vs Pittsburgh,REG,L,3-2,-155,U,8.0,CHN,2022,20220518,36,0.607843137254902,0
"May 19, 2022",vs Arizona,REG,L,3-1,-125,U,9.0,CHN,2022,20220519,37,0.5555555555555556,0
"May 20, 2022",vs Arizona,REG,L,10-6,-137,O,11.5,CHN,2022,20220520,38,0.5780590717299579,0
"May 21, 2022",vs Arizona,REG,L,7-6,-130,O,7.5,CHN,2022,20220521,39,0.5652173913043479,0
"May 22, 2022",vs Arizona,REG,W,5-4,-132,O,7.5,CHN,2022,20220522,40,0.5689655172413793,0
"May 23, 2022",@ Cincinnati,REG,W,7-4,-124,O,9.0,CHN,2022,20220523,41,0.5535714285714286,0
"May 24, 2022",@ Cincinnati,REG,W,11-4,100,O,8.5,CHN,2022,20220524,42,0.5,0
"May 25, 2022",@ Cincinnati,REG,L,4-3,134,U,8.5,CHN,2022,20220525,43,0.42735042735042733,0
"May 26, 2022",@ Cincinnati,REG,L,20-5,-115,O,9.0,CHN,2022,20220526,44,0.5348837209302326,0
"May 28, 2022",@ Chi White Sox,REG,W,5-1,128,U,8.0,CHN,2022,20220528,45,0.43859649122807015,0
"May 29, 2022",@ Chi White Sox,REG,L,5-4,126,O,7.0,CHN,2022,20220529,46,0.4424778761061947,0
"May 30, 2022",vs Milwaukee,REG,L,7-6,122,O,11.5,CHN,2022,20220530,47,0.45045045045045046,1
"May 30, 2022",vs Milwaukee,REG,L,3-1,110,U,10.5,CHN,2022,20220530,48,0.47619047619047616,2
"May 31, 2022",vs Milwaukee,REG,W,8-7,116,O,9.5,CHN,2022,20220531,49,0.46296296296296297,0
"Jun 1, 2022",vs Milwaukee,REG,W,4-3,-105,U,8.0,CHN,2022,20220601,50,0.5121951219512195,0
"Jun 2, 2022",vs St. Louis,REG,W,7-5,-104,O,8.5,CHN,2022,20220602,51,0.5098039215686274,0
"Jun 3, 2022",vs St. Louis,REG,L,14-5,-110,O,8.5,CHN,2022,20220603,52,0.5238095238095238,0
"Jun 4, 2022",vs St. Louis,REG,W,6-1,-108,U,9.0,CHN,2022,20220604,53,0.5192307692307692,1
"Jun 4, 2022",vs St. Louis,REG,L,7-4,107,O,8.0,CHN,2022,20220604,54,0.4830917874396135,2
"Jun 5, 2022",vs St. Louis,REG,L,5-3,120,U,9.0,CHN,2022,20220605,55,0.45454545454545453,0
"Jun 7, 2022",@ Baltimore,REG,L,9-3,-115,O,9.0,CHN,2022,20220607,56,0.5348837209302326,0
"Jun 10, 2022",@ NY Yankees,REG,L,2-1,220,U,9.0,CHN,2022,20220610,57,0.3125,0
"Jun 11, 2022",@ NY Yankees,REG,L,8-0,195,U,8.5,CHN,2022,20220611,58,0.3389830508474576,0
"Jun 12, 2022",@ NY Yankees,REG,L,18-4,190,O,8.5,CHN,2022,20220612,59,0.3448275862068966,0
"Jun 13, 2022",vs San Diego,REG,L,4-1,118,U,9.0,CHN,2022,20220613,60,0.45871559633027525,0
"Jun 14, 2022",vs San Diego,REG,L,12-5,115,O,10.5,CHN,2022,20220614,61,0.46511627906976744,0
"Jun 15, 2022",vs San Diego,REG,L,19-5,-134,O,12.0,CHN,2022,20220615,62,0.5726495726495726,0
"Jun 16, 2022",vs San Diego,REG,L,6-4,165,U,11.0,CHN,2022,20220616,63,0.37735849056603776,0
"Jun 17, 2022",vs Atlanta,REG,W,1-0,155,U,8.5,CHN,2022,20220617,64,0.39215686274509803,0
"Jun 18, 2022",vs Atlanta,REG,W,6-3,175,O,7.0,CHN,2022,20220618,65,0.36363636363636365,0
"Jun 19, 2022",vs Atlanta,REG,L,6-0,137,U,9.0,CHN,2022,20220619,66,0.4219409282700422,0
"Jun 20, 2022",@ Pittsburgh,REG,L,12-1,100,O,8.0,CHN,2022,20220620,67,0.5,0
"Jun 21, 2022",@ Pittsburgh,REG,L,7-1,130,U,9.0,CHN,2022,20220621,68,0.43478260869565216,0
"Jun 22, 2022",@ Pittsburgh,REG,W,14-5,-137,O,9.0,CHN,2022,20220622,69,0.5780590717299579,0
"Jun 23, 2022",@ Pittsburgh,REG,L,8-7,-115,O,8.5,CHN,2022,20220623,70,0.5348837209302326,0
"Jun 24, 2022",@ St. Louis,REG,W,3-0,148,U,8.5,CHN,2022,20220624,71,0.4032258064516129,0
"Jun 25, 2022",@ St. Louis,REG,L,5-3,190,U,9.0,CHN,2022,20220625,72,0.3448275862068966,0
"Jun 26, 2022",@ St. Louis,REG,W,6-5,140,O,9.0,CHN,2022,20220626,73,0.4166666666666667,0
"Jun 28, 2022",vs Cincinnati,REG,L,5-3,-125,U,9.0,CHN,2022,20220628,74,0.5555555555555556,0
"Jun 29, 2022",vs Cincinnati,REG,W,8-3,-135,O,8.0,CHN,2022,20220629,75,0.574468085106383,0
"Jun 30, 2022",vs Cincinnati,REG,W,15-7,-130,O,10.5,CHN,2022,20220630,76,0.5652173913043479,0
"Jul 1, 2022",vs Boston,REG,W,6-5,125,O,8.0,CHN,2022,20220701,77,0.4444444444444444,0
"Jul 2, 2022",vs Boston,REG,W,3-1,125,U,9.5,CHN,2022,20220702,78,0.4444444444444444,0
"Jul 3, 2022",vs Boston,REG,L,4-2,-112,U,8.5,CHN,2022,20220703,79,0.5283018867924528,0
"Jul 4, 2022",@ Milwaukee,REG,L,5-2,130,U,8.5,CHN,2022,20220704,80,0.43478260869565216,0
"Jul 5, 2022",@ Milwaukee,REG,W,8-3,123,O,9.0,CHN,2022,20220705,81,0.4484304932735426,0
"Jul 6, 2022",@ Milwaukee,REG,W,2-1,220,U,7.5,CHN,2022,20220706,82,0.3125,0
"Jul 7, 2022",@ LA Dodgers,REG,L,5-3,230,P,8.0,CHN,2022,20220707,83,0.30303030303030304,0
"Jul 8, 2022",@ LA Dodgers,REG,L,4-3,190,U,8.5,CHN,2022,20220708,84,0.3448275862068966,0
"Jul 9, 2022",@ LA Dodgers,REG,L,4-2,210,U,7.5,CHN,2022,20220709,85,0.3225806451612903,0
"Jul 10, 2022",@ LA Dodgers,REG,L,11-9,220,O,8.5,CHN,2022,20220710,86,0.3125,0
"Jul 12, 2022",vs Baltimore,REG,L,4-2,-125,U,9.0,CHN,2022,20220712,87,0.5555555555555556,0
"Jul 13, 2022",vs Baltimore,REG,L,7-1,-154,P,8.0,CHN,2022,20220713,88,0.6062992125984252,0
"Jul 14, 2022",vs NY Mets,REG,L,8-0,115,O,7.5,CHN,2022,20220714,89,0.46511627906976744,0
"Jul 16, 2022",vs NY Mets,REG,L,2-1,114,U,7.5,CHN,2022,20220716,90,0.4672897196261682,1
"Jul 16, 2022",vs NY Mets,REG,L,4-3,210,P,7.0,CHN,2022,20220716,91,0.3225806451612903,2
"Jul 17, 2022",vs NY Mets,REG,W,3-2,120,U,8.0,CHN,2022,20220717,92,0.45454545454545453,0
"Jul 22, 2022",@ Philadelphia,REG,W,15-2,110,O,9.0,CHN,2022,20220722,93,0.47619047619047616,0
