Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 28, 2019",@ Oakland,REG,L,4-0,-105,U,8.5,ANA,2019,20190328,1,0.5121951219512195,0
"Mar 29, 2019",@ Oakland,REG,W,6-2,-105,U,8.5,ANA,2019,20190329,2,0.5121951219512195,0
"Mar 30, 2019",@ Oakland,REG,L,4-2,105,U,8.5,ANA,2019,20190330,3,0.4878048780487805,0
"Mar 31, 2019",@ Oakland,REG,L,2-1,115,U,8.5,ANA,2019,20190331,4,0.46511627906976744,0
"Apr 1, 2019",@ Seattle,REG,L,6-3,104,P,9.0,ANA,2019,20190401,5,0.49019607843137253,0
"Apr 2, 2019",@ Seattle,REG,L,2-1,100,U,8.5,ANA,2019,20190402,6,0.5,0
"Apr 4, 2019",vs Texas,REG,L,11-4,-160,O,9.0,ANA,2019,20190404,7,0.6153846153846154,0
"Apr 5, 2019",vs Texas,REG,W,3-1,-117,U,8.5,ANA,2019,20190405,8,0.5391705069124424,0
"Apr 6, 2019",vs Texas,REG,W,5-1,-155,U,8.5,ANA,2019,20190406,9,0.607843137254902,0
"Apr 7, 2019",vs Texas,REG,W,7-2,-120,U,9.5,ANA,2019,20190407,10,0.5454545454545454,0
"Apr 8, 2019",vs Milwaukee,REG,W,5-2,-104,U,9.0,ANA,2019,20190408,11,0.5098039215686274,0
"Apr 9, 2019",vs Milwaukee,REG,W,11-8,125,O,8.5,ANA,2019,20190409,12,0.4444444444444444,0
"Apr 10, 2019",vs Milwaukee,REG,W,4-2,152,U,8.0,ANA,2019,20190410,13,0.3968253968253968,0
"Apr 12, 2019",@ Chi Cubs,REG,L,5-1,150,U,10.5,ANA,2019,20190412,14,0.4,0
"Apr 13, 2019",@ Chi Cubs,REG,W,6-5,180,O,9.0,ANA,2019,20190413,15,0.35714285714285715,0
"Apr 15, 2019",@ Texas,REG,L,12-7,-121,O,10.5,ANA,2019,20190415,16,0.5475113122171946,0
"Apr 16, 2019",@ Texas,REG,L,5-0,104,U,10.0,ANA,2019,20190416,17,0.49019607843137253,0
"Apr 17, 2019",@ Texas,REG,L,5-4,118,U,10.5,ANA,2019,20190417,18,0.45871559633027525,0
"Apr 18, 2019",vs Seattle,REG,L,11-10,-120,O,10.0,ANA,2019,20190418,19,0.5454545454545454,0
"Apr 19, 2019",vs Seattle,REG,L,5-3,-116,U,9.5,ANA,2019,20190419,20,0.537037037037037,0
"Apr 20, 2019",vs Seattle,REG,L,6-5,-125,O,9.0,ANA,2019,20190420,21,0.5555555555555556,0
"Apr 21, 2019",vs Seattle,REG,W,8-6,-128,O,9.5,ANA,2019,20190421,22,0.5614035087719298,0
"Apr 22, 2019",vs NY Yankees,REG,L,4-3,-119,U,8.5,ANA,2019,20190422,23,0.54337899543379,0
"Apr 23, 2019",vs NY Yankees,REG,L,7-5,-104,O,8.5,ANA,2019,20190423,24,0.5098039215686274,0
"Apr 24, 2019",vs NY Yankees,REG,L,6-5,100,O,8.5,ANA,2019,20190424,25,0.5,0
"Apr 25, 2019",vs NY Yankees,REG,W,11-5,-105,O,8.0,ANA,2019,20190425,26,0.5121951219512195,0
