Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Apr 8, 2022",@ Tampa Bay,REG,L,2-1,165,U,7.5,BAL,2022,20220408,1,0.37735849056603776,0
"Apr 9, 2022",@ Tampa Bay,REG,L,5-3,190,U,8.5,BAL,2022,20220409,2,0.3448275862068966,0
"Apr 10, 2022",@ Tampa Bay,REG,L,8-0,155,U,8.5,BAL,2022,20220410,3,0.39215686274509803,0
"Apr 11, 2022",vs Milwaukee,REG,W,2-0,142,U,9.0,BAL,2022,20220411,4,0.4132231404958678,0
"Apr 12, 2022",vs Milwaukee,REG,L,5-4,149,P,9.0,BAL,2022,20220412,5,0.40160642570281124,0
"Apr 13, 2022",vs Milwaukee,REG,L,4-2,155,U,8.0,BAL,2022,20220413,6,0.39215686274509803,0
"Apr 15, 2022",vs NY Yankees,REG,W,2-1,183,U,9.0,BAL,2022,20220415,7,0.35335689045936397,0
"Apr 16, 2022",vs NY Yankees,REG,L,5-2,165,U,8.5,BAL,2022,20220416,8,0.37735849056603776,0
"Apr 17, 2022",vs NY Yankees,REG,W,5-0,170,U,8.0,BAL,2022,20220417,9,0.37037037037037035,0
"Apr 18, 2022",@ Oakland,REG,L,5-1,165,U,7.0,BAL,2022,20220418,10,0.37735849056603776,0
"Apr 19, 2022",@ Oakland,REG,L,2-1,105,U,8.0,BAL,2022,20220419,11,0.4878048780487805,0
"Apr 20, 2022",@ Oakland,REG,W,1-0,113,U,8.0,BAL,2022,20220420,12,0.4694835680751174,0
"Apr 21, 2022",@ Oakland,REG,L,6-4,118,O,7.0,BAL,2022,20220421,13,0.45871559633027525,0
"Apr 22, 2022",@ LA Angels,REG,W,5-3,165,U,8.5,BAL,2022,20220422,14,0.37735849056603776,0
"Apr 23, 2022",@ LA Angels,REG,W,5-4,240,O,8.5,BAL,2022,20220423,15,0.29411764705882354,0
"Apr 24, 2022",@ LA Angels,REG,L,7-6,180,O,9.0,BAL,2022,20220424,16,0.35714285714285715,0
"Apr 26, 2022",@ NY Yankees,REG,L,12-8,245,O,7.5,BAL,2022,20220426,17,0.2898550724637681,0
"Apr 27, 2022",@ NY Yankees,REG,L,5-2,210,U,8.0,BAL,2022,20220427,18,0.3225806451612903,0
"Apr 28, 2022",@ NY Yankees,REG,L,10-5,180,O,7.5,BAL,2022,20220428,19,0.35714285714285715,0
"Apr 29, 2022",vs Boston,REG,L,3-1,105,U,8.5,BAL,2022,20220429,20,0.4878048780487805,0
"Apr 30, 2022",vs Boston,REG,W,2-1,160,U,7.5,BAL,2022,20220430,21,0.38461538461538464,0
"May 1, 2022",vs Boston,REG,W,9-5,128,O,8.0,BAL,2022,20220501,22,0.43859649122807015,0
"May 2, 2022",vs Minnesota,REG,L,2-1,130,U,7.5,BAL,2022,20220502,23,0.43478260869565216,0
"May 3, 2022",vs Minnesota,REG,L,7-2,140,O,7.0,BAL,2022,20220503,24,0.4166666666666667,0
"May 4, 2022",vs Minnesota,REG,W,9-4,123,O,7.5,BAL,2022,20220504,25,0.4484304932735426,0
"May 5, 2022",vs Minnesota,REG,W,5-3,135,U,8.5,BAL,2022,20220505,26,0.425531914893617,0
"May 8, 2022",vs Kansas City,REG,L,6-4,101,O,7.0,BAL,2022,20220508,27,0.4975124378109453,1
