Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Apr 1, 2021",vs Arizona,REG,W,8-7,-230,O,8.5,SDN,2021,20210401,1,0.696969696969697,0
"Apr 2, 2021",vs Arizona,REG,W,4-2,-210,U,7.5,SDN,2021,20210402,2,0.6774193548387097,0
"Apr 3, 2021",vs Arizona,REG,W,7-0,-210,U,8.5,SDN,2021,20210403,3,0.6774193548387097,0
"Apr 4, 2021",vs Arizona,REG,L,3-1,-200,U,9.0,SDN,2021,20210404,4,0.6666666666666667,0
"Apr 5, 2021",vs San Francisco,REG,L,3-2,-150,U,8.0,SDN,2021,20210405,5,0.6,0
"Apr 6, 2021",vs San Francisco,REG,W,3-1,-180,U,8.0,SDN,2021,20210406,6,0.6428571428571428,0
"Apr 7, 2021",vs San Francisco,REG,L,3-2,-148,U,7.0,SDN,2021,20210407,7,0.5967741935483871,0
"Apr 9, 2021",@ Texas,REG,W,3-0,-190,U,9.0,SDN,2021,20210409,8,0.6551724137931034,0
"Apr 10, 2021",@ Texas,REG,W,7-4,-150,O,9.0,SDN,2021,20210410,9,0.6,0
"Apr 11, 2021",@ Texas,REG,W,2-0,-163,U,9.0,SDN,2021,20210411,10,0.6197718631178708,0
"Apr 12, 2021",@ Pittsburgh,REG,W,6-2,-200,O,7.5,SDN,2021,20210412,11,0.6666666666666667,0
"Apr 13, 2021",@ Pittsburgh,REG,L,8-4,-234,O,8.0,SDN,2021,20210413,12,0.7005988023952097,0
"Apr 14, 2021",@ Pittsburgh,REG,L,5-1,-195,U,7.5,SDN,2021,20210414,13,0.6610169491525424,0
"Apr 15, 2021",@ Pittsburgh,REG,W,8-3,-150,O,7.5,SDN,2021,20210415,14,0.6,0
"Apr 16, 2021",vs LA Dodgers,REG,L,11-6,135,O,8.0,SDN,2021,20210416,15,0.425531914893617,0
"Apr 17, 2021",vs LA Dodgers,REG,L,2-0,103,U,7.0,SDN,2021,20210417,16,0.49261083743842365,0
"Apr 18, 2021",vs LA Dodgers,REG,W,5-2,118,U,7.5,SDN,2021,20210418,17,0.45871559633027525,0
"Apr 19, 2021",vs Milwaukee,REG,L,3-1,-162,U,6.5,SDN,2021,20210419,18,0.6183206106870229,0
"Apr 20, 2021",vs Milwaukee,REG,L,6-0,-102,U,6.5,SDN,2021,20210420,19,0.504950495049505,0
"Apr 21, 2021",vs Milwaukee,REG,L,4-2,-185,U,7.5,SDN,2021,20210421,20,0.6491228070175439,0
"Apr 22, 2021",@ LA Dodgers,REG,W,3-2,151,U,7.5,SDN,2021,20210422,21,0.398406374501992,0
"Apr 23, 2021",@ LA Dodgers,REG,W,6-1,128,O,6.5,SDN,2021,20210423,22,0.43859649122807015,0
"Apr 24, 2021",@ LA Dodgers,REG,L,5-4,134,O,7.0,SDN,2021,20210424,23,0.42735042735042733,0
"Apr 25, 2021",@ LA Dodgers,REG,W,8-7,110,O,7.0,SDN,2021,20210425,24,0.47619047619047616,0
"Apr 27, 2021",@ Arizona,REG,L,5-1,-150,U,9.0,SDN,2021,20210427,25,0.6,0
"Apr 28, 2021",@ Arizona,REG,W,12-3,-155,O,9.0,SDN,2021,20210428,26,0.607843137254902,0
"Apr 30, 2021",vs San Francisco,REG,W,3-2,-200,U,7.5,SDN,2021,20210430,27,0.6666666666666667,0
"May 1, 2021",vs San Francisco,REG,W,6-2,-167,O,7.0,SDN,2021,20210501,28,0.6254681647940075,0
"May 2, 2021",vs San Francisco,REG,L,7-1,-176,O,6.5,SDN,2021,20210502,29,0.6376811594202898,0
"May 3, 2021",vs Pittsburgh,REG,W,2-0,-177,U,8.0,SDN,2021,20210503,30,0.6389891696750902,0
