Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Mar 28, 2019",@ San Diego,REG,L,2-0,119,U,7.5,SFN,2019,20190328,1,0.45662100456621,0
"Mar 29, 2019",@ San Diego,REG,L,4-1,145,U,7.5,SFN,2019,20190329,2,0.40816326530612246,0
"Mar 30, 2019",@ San Diego,REG,W,3-2,115,U,7.5,SFN,2019,20190330,3,0.46511627906976744,0
"Mar 31, 2019",@ San Diego,REG,L,3-1,160,U,7.5,SFN,2019,20190331,4,0.38461538461538464,0
"Apr 1, 2019",@ LA Dodgers,REG,W,4-2,170,U,7.5,SFN,2019,20190401,5,0.37037037037037035,0
"Apr 2, 2019",@ LA Dodgers,REG,L,6-5,140,O,7.0,SFN,2019,20190402,6,0.4166666666666667,0
"Apr 3, 2019",@ LA Dodgers,REG,L,5-3,170,O,7.0,SFN,2019,20190403,7,0.37037037037037035,0
"Apr 5, 2019",vs Tampa Bay,REG,L,5-2,102,P,7.0,SFN,2019,20190405,8,0.49504950495049505,0
"Apr 6, 2019",vs Tampa Bay,REG,W,6-4,122,O,7.5,SFN,2019,20190406,9,0.45045045045045046,0
"Apr 7, 2019",vs Tampa Bay,REG,L,3-0,100,U,7.0,SFN,2019,20190407,10,0.5,0
"Apr 8, 2019",vs San Diego,REG,L,6-5,-133,O,7.0,SFN,2019,20190408,11,0.5708154506437768,0
"Apr 9, 2019",vs San Diego,REG,W,7-2,121,O,7.5,SFN,2019,20190409,12,0.45248868778280543,0
"Apr 10, 2019",vs San Diego,REG,L,3-1,-104,U,8.0,SFN,2019,20190410,13,0.5098039215686274,0
"Apr 11, 2019",vs Colorado,REG,W,1-0,-101,U,7.5,SFN,2019,20190411,14,0.5024875621890548,0
"Apr 12, 2019",vs Colorado,REG,W,3-2,-139,U,7.5,SFN,2019,20190412,15,0.5815899581589958,0
"Apr 13, 2019",vs Colorado,REG,W,5-2,-115,P,7.0,SFN,2019,20190413,16,0.5348837209302326,0
"Apr 14, 2019",vs Colorado,REG,L,4-0,-105,U,7.0,SFN,2019,20190414,17,0.5121951219512195,0
"Apr 16, 2019",@ Washington,REG,W,7-3,175,O,8.0,SFN,2019,20190416,18,0.36363636363636365,0
"Apr 17, 2019",@ Washington,REG,L,9-6,135,O,8.5,SFN,2019,20190417,19,0.425531914893617,0
"Apr 18, 2019",@ Washington,REG,L,4-2,170,U,7.5,SFN,2019,20190418,20,0.37037037037037035,0
"Apr 19, 2019",@ Pittsburgh,REG,L,4-1,-115,U,7.0,SFN,2019,20190419,21,0.5348837209302326,0
"Apr 20, 2019",@ Pittsburgh,REG,L,3-1,122,U,7.0,SFN,2019,20190420,22,0.45045045045045046,0
"Apr 21, 2019",@ Pittsburgh,REG,W,3-2,125,U,7.0,SFN,2019,20190421,23,0.4444444444444444,0
"Apr 23, 2019",@ Toronto,REG,W,7-6,-105,O,8.5,SFN,2019,20190423,24,0.5121951219512195,0
"Apr 24, 2019",@ Toronto,REG,W,4-0,-120,U,8.5,SFN,2019,20190424,25,0.5454545454545454,0
"Apr 26, 2019",vs NY Yankees,REG,L,7-3,100,O,6.0,SFN,2019,20190426,26,0.5,0
"Apr 27, 2019",vs NY Yankees,REG,L,6-4,-106,O,7.5,SFN,2019,20190427,27,0.5145631067961165,0
"Apr 28, 2019",vs NY Yankees,REG,L,11-5,116,O,7.5,SFN,2019,20190428,28,0.46296296296296297,0
"Apr 29, 2019",vs LA Dodgers,REG,W,3-2,142,U,8.0,SFN,2019,20190429,29,0.4132231404958678,0
"Apr 30, 2019",vs LA Dodgers,REG,L,10-3,135,O,7.0,SFN,2019,20190430,30,0.425531914893617,0
"May 1, 2019",vs LA Dodgers,REG,W,2-1,117,U,7.0,SFN,2019,20190501,31,0.4608294930875576,0
"May 3, 2019",@ Cincinnati,REG,W,12-11,138,O,8.0,SFN,2019,20190503,32,0.42016806722689076,0
"May 4, 2019",@ Cincinnati,REG,L,9-2,117,O,8.5,SFN,2019,20190504,33,0.4608294930875576,0
"May 5, 2019",@ Cincinnati,REG,W,6-5,160,O,8.0,SFN,2019,20190505,34,0.38461538461538464,0
"May 6, 2019",@ Cincinnati,REG,L,12-4,130,O,8.0,SFN,2019,20190506,35,0.43478260869565216,0
"May 7, 2019",@ Colorado,REG,W,14-4,115,O,10.0,SFN,2019,20190507,36,0.46511627906976744,0
"May 9, 2019",@ Colorado,REG,L,12-11,154,O,9.5,SFN,2019,20190509,37,0.3937007874015748,0
"May 10, 2019",vs Cincinnati,REG,L,7-0,136,U,7.5,SFN,2019,20190510,38,0.423728813559322,0
"May 11, 2019",vs Cincinnati,REG,L,5-4,125,O,7.5,SFN,2019,20190511,39,0.4444444444444444,0
"May 12, 2019",vs Cincinnati,REG,W,6-5,-111,O,7.0,SFN,2019,20190512,40,0.5260663507109005,0
"May 14, 2019",vs Toronto,REG,L,7-3,-127,O,7.5,SFN,2019,20190514,41,0.5594713656387665,0
"May 15, 2019",vs Toronto,REG,W,4-3,-150,U,7.5,SFN,2019,20190515,42,0.6,0
"May 17, 2019",@ Arizona,REG,L,7-0,127,U,9.0,SFN,2019,20190517,43,0.44052863436123346,0
"May 18, 2019",@ Arizona,REG,W,8-5,-120,O,8.5,SFN,2019,20190518,44,0.5454545454545454,0
"May 19, 2019",@ Arizona,REG,W,3-2,185,U,8.0,SFN,2019,20190519,45,0.3508771929824561,0
"May 20, 2019",vs Atlanta,REG,L,4-1,136,U,7.5,SFN,2019,20190520,46,0.423728813559322,0
"May 21, 2019",vs Atlanta,REG,W,4-3,104,U,8.0,SFN,2019,20190521,47,0.49019607843137253,0
"May 22, 2019",vs Atlanta,REG,L,9-2,147,O,7.5,SFN,2019,20190522,48,0.4048582995951417,0
"May 23, 2019",vs Atlanta,REG,L,5-4,104,O,7.5,SFN,2019,20190523,49,0.49019607843137253,0
"May 24, 2019",vs Arizona,REG,L,18-2,125,O,7.0,SFN,2019,20190524,50,0.4444444444444444,0
"May 25, 2019",vs Arizona,REG,L,10-4,-125,O,8.0,SFN,2019,20190525,51,0.5555555555555556,0
"May 26, 2019",vs Arizona,REG,L,6-2,-103,O,7.0,SFN,2019,20190526,52,0.5073891625615763,0
"May 28, 2019",@ Miami,REG,L,11-3,-102,O,7.5,SFN,2019,20190528,53,0.504950495049505,0
"May 29, 2019",@ Miami,REG,L,4-2,-120,U,7.0,SFN,2019,20190529,54,0.5454545454545454,0
"May 30, 2019",@ Miami,REG,W,3-1,-105,U,7.5,SFN,2019,20190530,55,0.5121951219512195,0
"May 31, 2019",@ Baltimore,REG,L,9-6,-113,O,9.0,SFN,2019,20190531,56,0.5305164319248826,0
"Jun 1, 2019",@ Baltimore,REG,W,8-2,-133,U,10.5,SFN,2019,20190601,57,0.5708154506437768,0
"Jun 2, 2019",@ Baltimore,REG,W,8-1,-107,U,10.0,SFN,2019,20190602,58,0.5169082125603865,0
"Jun 4, 2019",@ NY Mets,REG,W,9-3,133,O,7.0,SFN,2019,20190604,59,0.4291845493562232,0
"Jun 5, 2019",@ NY Mets,REG,L,7-0,143,U,8.5,SFN,2019,20190605,60,0.411522633744856,0
"Jun 6, 2019",@ NY Mets,REG,L,7-3,150,O,7.5,SFN,2019,20190606,61,0.4,0
"Jun 7, 2019",vs LA Dodgers,REG,W,2-1,220,U,7.5,SFN,2019,20190607,62,0.3125,0
"Jun 8, 2019",vs LA Dodgers,REG,L,7-2,190,O,8.5,SFN,2019,20190608,63,0.3448275862068966,0
"Jun 9, 2019",vs LA Dodgers,REG,L,1-0,148,U,7.5,SFN,2019,20190609,64,0.4032258064516129,0
"Jun 11, 2019",vs San Diego,REG,W,6-5,140,O,8.0,SFN,2019,20190611,65,0.4166666666666667,0
"Jun 12, 2019",vs San Diego,REG,W,4-2,126,U,7.0,SFN,2019,20190612,66,0.4424778761061947,0
"Jun 14, 2019",vs Milwaukee,REG,W,5-3,145,P,8.0,SFN,2019,20190614,67,0.40816326530612246,0
"Jun 15, 2019",vs Milwaukee,REG,W,8-7,-112,O,7.5,SFN,2019,20190615,68,0.5283018867924528,0
"Jun 16, 2019",vs Milwaukee,REG,L,5-3,148,P,8.0,SFN,2019,20190616,69,0.4032258064516129,0
"Jun 17, 2019",@ LA Dodgers,REG,W,3-2,220,U,8.5,SFN,2019,20190617,70,0.3125,0
"Jun 18, 2019",@ LA Dodgers,REG,L,9-0,225,O,7.5,SFN,2019,20190618,71,0.3076923076923077,0
"Jun 19, 2019",@ LA Dodgers,REG,L,9-2,210,O,7.5,SFN,2019,20190619,72,0.3225806451612903,0
"Jun 20, 2019",@ LA Dodgers,REG,L,9-8,157,O,7.5,SFN,2019,20190620,73,0.38910505836575876,0
"Jun 21, 2019",@ Arizona,REG,W,11-5,132,O,10.0,SFN,2019,20190621,74,0.43103448275862066,0
"Jun 22, 2019",@ Arizona,REG,W,7-4,117,O,10.0,SFN,2019,20190622,75,0.4608294930875576,0
"Jun 23, 2019",@ Arizona,REG,L,3-2,129,U,9.0,SFN,2019,20190623,76,0.4366812227074236,0
"Jun 24, 2019",vs Colorado,REG,L,2-0,109,U,7.5,SFN,2019,20190624,77,0.4784688995215311,0
"Jun 25, 2019",vs Colorado,REG,W,4-2,-156,U,7.5,SFN,2019,20190625,78,0.609375,0
"Jun 26, 2019",vs Colorado,REG,L,6-3,137,O,7.5,SFN,2019,20190626,79,0.4219409282700422,0
"Jun 27, 2019",vs Arizona,REG,L,5-1,-105,U,8.5,SFN,2019,20190627,80,0.5121951219512195,0
"Jun 28, 2019",vs Arizona,REG,W,6-3,113,O,7.5,SFN,2019,20190628,81,0.4694835680751174,0
"Jun 29, 2019",vs Arizona,REG,L,4-3,145,P,7.0,SFN,2019,20190629,82,0.40816326530612246,0
"Jun 30, 2019",vs Arizona,REG,W,10-4,104,O,7.0,SFN,2019,20190630,83,0.49019607843137253,0
"Jul 1, 2019",@ San Diego,REG,W,13-2,153,O,8.0,SFN,2019,20190701,84,0.3952569169960474,0
"Jul 2, 2019",@ San Diego,REG,W,10-4,140,O,8.5,SFN,2019,20190702,85,0.4166666666666667,0
"Jul 3, 2019",@ San Diego,REG,W,7-5,130,O,8.5,SFN,2019,20190703,86,0.43478260869565216,0
"Jul 5, 2019",vs St. Louis,REG,L,9-4,-118,O,8.5,SFN,2019,20190705,87,0.5412844036697247,0
"Jul 6, 2019",vs St. Louis,REG,W,8-4,-125,O,7.5,SFN,2019,20190706,88,0.5555555555555556,0
"Jul 7, 2019",vs St. Louis,REG,W,1-0,108,U,8.0,SFN,2019,20190707,89,0.4807692307692308,0
"Jul 12, 2019",@ Milwaukee,REG,W,10-7,165,O,9.5,SFN,2019,20190712,90,0.37735849056603776,0
"Jul 13, 2019",@ Milwaukee,REG,L,5-4,105,P,9.0,SFN,2019,20190713,91,0.4878048780487805,0
"Jul 14, 2019",@ Milwaukee,REG,W,8-3,172,O,10.0,SFN,2019,20190714,92,0.36764705882352944,0
"Jul 15, 2019",@ Colorado,REG,W,19-2,180,O,13.0,SFN,2019,20190715,93,0.35714285714285715,1
"Jul 15, 2019",@ Colorado,REG,W,2-1,125,U,14.0,SFN,2019,20190715,94,0.4444444444444444,2
"Jul 16, 2019",@ Colorado,REG,W,8-4,120,U,14.0,SFN,2019,20190716,95,0.45454545454545453,0
"Jul 17, 2019",@ Colorado,REG,W,11-8,185,O,13.0,SFN,2019,20190717,96,0.3508771929824561,0
"Jul 18, 2019",vs NY Mets,REG,W,3-2,-125,U,7.0,SFN,2019,20190718,97,0.5555555555555556,0
"Jul 19, 2019",vs NY Mets,REG,W,1-0,157,U,7.5,SFN,2019,20190719,98,0.38910505836575876,0
"Jul 20, 2019",vs NY Mets,REG,L,11-4,-155,O,9.0,SFN,2019,20190720,99,0.607843137254902,0
