Date,Opponent,Game,Result,Score,Line,OU,Total,team_source,season,date_numeric,game_no,prob_implied,dblheader_num
"Jul 24, 2020",@ Chi Cubs,REG,L,3-0,102,U,8.5,MIL,2020,20200724,1,0.49504950495049505,0
"Jul 25, 2020",@ Chi Cubs,REG,W,8-3,138,O,9.5,MIL,2020,20200725,2,0.42016806722689076,0
"Jul 26, 2020",@ Chi Cubs,REG,L,9-1,-105,U,12.0,MIL,2020,20200726,3,0.5121951219512195,0
"Jul 27, 2020",@ Pittsburgh,REG,W,6-5,-175,O,9.5,MIL,2020,20200727,4,0.6363636363636364,0
"Jul 28, 2020",@ Pittsburgh,REG,L,8-6,-180,O,10.0,MIL,2020,20200728,5,0.6428571428571428,0
"Jul 29, 2020",@ Pittsburgh,REG,W,3-0,-150,U,8.5,MIL,2020,20200729,6,0.6,0
"Aug 3, 2020",vs Chi White Sox,REG,L,6-4,-113,O,9.5,MIL,2020,20200803,7,0.5305164319248826,0
"Aug 4, 2020",vs Chi White Sox,REG,L,3-2,-130,U,8.0,MIL,2020,20200804,8,0.5652173913043479,0
"Aug 5, 2020",@ Chi White Sox,REG,W,1-0,120,U,8.5,MIL,2020,20200805,9,0.45454545454545453,0
"Aug 6, 2020",@ Chi White Sox,REG,W,8-3,102,O,9.0,MIL,2020,20200806,10,0.49504950495049505,0
"Aug 7, 2020",vs Cincinnati,REG,L,8-3,-102,O,8.0,MIL,2020,20200807,11,0.504950495049505,0
"Aug 8, 2020",vs Cincinnati,REG,L,4-1,-117,U,9.5,MIL,2020,20200808,12,0.5391705069124424,0
"Aug 9, 2020",vs Cincinnati,REG,W,9-3,-113,O,7.0,MIL,2020,20200809,13,0.5305164319248826,0
"Aug 10, 2020",vs Minnesota,REG,L,4-2,-112,U,8.5,MIL,2020,20200810,14,0.5283018867924528,0
"Aug 11, 2020",vs Minnesota,REG,W,6-4,-118,O,9.0,MIL,2020,20200811,15,0.5412844036697247,0
"Aug 12, 2020",vs Minnesota,REG,L,12-2,122,O,9.0,MIL,2020,20200812,16,0.45045045045045046,0
"Aug 13, 2020",@ Chi Cubs,REG,L,4-2,154,U,8.5,MIL,2020,20200813,17,0.3937007874015748,0
"Aug 14, 2020",@ Chi Cubs,REG,W,4-3,-129,U,8.0,MIL,2020,20200814,18,0.5633187772925764,0
"Aug 15, 2020",@ Chi Cubs,REG,W,6-5,-107,O,9.5,MIL,2020,20200815,19,0.5169082125603865,0
"Aug 16, 2020",@ Chi Cubs,REG,W,6-5,110,O,9.0,MIL,2020,20200816,20,0.47619047619047616,0
"Aug 18, 2020",@ Minnesota,REG,L,4-3,137,U,8.5,MIL,2020,20200818,21,0.4219409282700422,0
"Aug 19, 2020",@ Minnesota,REG,W,9-3,145,O,9.5,MIL,2020,20200819,22,0.40816326530612246,0
"Aug 20, 2020",@ Minnesota,REG,L,7-1,-105,U,8.5,MIL,2020,20200820,23,0.5121951219512195,0
"Aug 21, 2020",@ Pittsburgh,REG,L,7-2,-138,O,8.5,MIL,2020,20200821,24,0.5798319327731092,0
"Aug 22, 2020",@ Pittsburgh,REG,L,12-5,-165,O,9.5,MIL,2020,20200822,25,0.6226415094339622,0
"Aug 23, 2020",@ Pittsburgh,REG,L,5-4,-180,P,9.0,MIL,2020,20200823,26,0.6428571428571428,0
"Aug 24, 2020",vs Cincinnati,REG,W,4-2,136,U,8.5,MIL,2020,20200824,27,0.423728813559322,0
"Aug 25, 2020",vs Cincinnati,REG,W,3-2,-110,U,8.0,MIL,2020,20200825,28,0.5238095238095238,0
"Aug 27, 2020",vs Cincinnati,REG,L,6-1,115,O,6.0,MIL,2020,20200827,29,0.46511627906976744,1
"Aug 27, 2020",vs Cincinnati,REG,L,6-0,-165,U,7.0,MIL,2020,20200827,30,0.6226415094339622,2
"Aug 28, 2020",vs Pittsburgh,REG,W,9-1,-200,O,9.0,MIL,2020,20200828,31,0.6666666666666667,0
"Aug 29, 2020",vs Pittsburgh,REG,W,7-6,-200,O,9.0,MIL,2020,20200829,32,0.6666666666666667,0
"Aug 30, 2020",vs Pittsburgh,REG,L,5-1,-270,U,8.0,MIL,2020,20200830,33,0.7297297297297297,0
"Aug 31, 2020",vs Pittsburgh,REG,W,6-5,-200,O,8.5,MIL,2020,20200831,34,0.6666666666666667,0
"Sep 1, 2020",vs Detroit,REG,L,12-1,-200,O,9.5,MIL,2020,20200901,35,0.6666666666666667,0
"Sep 2, 2020",vs Detroit,REG,W,8-5,-180,O,9.0,MIL,2020,20200902,36,0.6428571428571428,0
"Sep 4, 2020",@ Cleveland,REG,W,7-1,131,P,8.0,MIL,2020,20200904,37,0.4329004329004329,0
"Sep 5, 2020",@ Cleveland,REG,L,4-3,100,U,7.5,MIL,2020,20200905,38,0.5,0
"Sep 6, 2020",@ Cleveland,REG,L,4-1,230,U,7.0,MIL,2020,20200906,39,0.30303030303030304,0
"Sep 8, 2020",@ Detroit,REG,L,8-3,-150,O,9.0,MIL,2020,20200908,40,0.6,0
"Sep 9, 2020",@ Detroit,REG,W,19-0,-150,O,7.5,MIL,2020,20200909,41,0.6,0
"Sep 11, 2020",vs Chi Cubs,REG,W,1-0,-170,U,9.0,MIL,2020,20200911,42,0.6296296296296297,0
"Sep 12, 2020",vs Chi Cubs,REG,L,4-2,-103,U,9.0,MIL,2020,20200912,43,0.5073891625615763,0
"Sep 13, 2020",vs Chi Cubs,REG,L,12-0,-124,O,9.5,MIL,2020,20200913,44,0.5535714285714286,0
"Sep 14, 2020",vs St. Louis,REG,W,2-1,-116,U,6.5,MIL,2020,20200914,45,0.537037037037037,1
"Sep 14, 2020",vs St. Louis,REG,L,3-2,-200,U,6.5,MIL,2020,20200914,46,0.6666666666666667,2
"Sep 15, 2020",vs St. Louis,REG,W,18-3,124,O,8.5,MIL,2020,20200915,47,0.44642857142857145,0
"Sep 16, 2020",vs St. Louis,REG,L,4-2,-145,P,6.0,MIL,2020,20200916,48,0.5918367346938775,1
"Sep 16, 2020",vs St. Louis,REG,W,6-0,-161,U,7.0,MIL,2020,20200916,49,0.6168582375478927,2
"Sep 18, 2020",vs Kansas City,REG,W,9-5,-156,O,8.5,MIL,2020,20200918,50,0.609375,0
"Sep 19, 2020",vs Kansas City,REG,W,5-0,-200,U,8.0,MIL,2020,20200919,51,0.6666666666666667,0
"Sep 20, 2020",vs Kansas City,REG,W,5-3,-160,U,8.5,MIL,2020,20200920,52,0.6153846153846154,0
"Sep 21, 2020",@ Cincinnati,REG,L,6-3,114,O,7.0,MIL,2020,20200921,53,0.4672897196261682,0
"Sep 22, 2020",@ Cincinnati,REG,W,3-2,140,U,8.5,MIL,2020,20200922,54,0.4166666666666667,0
"Sep 23, 2020",@ Cincinnati,REG,L,6-1,158,U,8.5,MIL,2020,20200923,55,0.3875968992248062,0
"Sep 24, 2020",@ St. Louis,REG,L,4-2,-140,U,7.0,MIL,2020,20200924,56,0.5833333333333333,0
"Sep 25, 2020",@ St. Louis,REG,W,3-0,-105,U,5.5,MIL,2020,20200925,57,0.5121951219512195,1
"Sep 25, 2020",vs St. Louis,REG,L,9-1,-105,O,6.5,MIL,2020,20200925,58,0.5121951219512195,2
"Sep 26, 2020",@ St. Louis,REG,W,3-0,-112,U,7.5,MIL,2020,20200926,59,0.5283018867924528,0
"Sep 27, 2020",@ St. Louis,REG,L,5-2,-102,U,8.0,MIL,2020,20200927,60,0.504950495049505,0
